ref:mise,fuel:diesel,fuel:octane_101,fuel:octane_100,fuel:octane_98,fuel:octane_95,fuel:cng,fuel:lpg,operator,brand,lat,lon
46351,yes,,,,yes,,,Di Benedetto Carburanti S.R.L.,,37.29332,13.56978
23778,yes,,,,yes,,,Alfonso di Benedetto Carburanti Lubrificanti S.R.L.,Sicilpetroli,37.31239,13.58591
20438,yes,,yes,,yes,,,Servizi & Gestioni Italia S.R.L.,Q8,37.27432,13.61424
25614,yes,,,,yes,,,Servizi & Gestioni Italia S.R.L.,Q8,37.29583,13.54761
43380,yes,,,,yes,,yes,Elettronia Service S.N.C. di Migliorino Francesco e Tuttolomondo Baldassare,Esso,37.3496,13.55864
39653,yes,,,,yes,,,Alba Alessandro,Agip Eni,37.33398,13.59556
9254,,,,,,,,Distefano Carburanti di Distefano Fabio e C. S.A.S.,Q8,37.31145,13.60865
43389,,,,,,,,Ellevi S.A.S. di Messina Luigi e Messina Vittorio,Q8,37.27408,13.58534
27962,yes,,,,yes,,,Nobile Oil Group S.P.A.,Agip Eni,37.31671,13.58079
21524,yes,,,,yes,,,Nobile Oil Group S.P.A.,Agip Eni,37.27118,13.62672
24949,,,,,,,,Erriu Enrico,Sicilpetroli,37.30823,13.58658
14565,,,,,,,,Petrolcoke Energy S.R.L.,Esso,37.31487,13.5814
43134,yes,,,,yes,,,G.Campione di Michele & Fratelli S.N.C.,Esso,37.31514,13.58312
45448,yes,,,,yes,yes,yes,Adamo Idrocarburi S.R.L.,Adamo Idrocarburi,37.27703,13.61054
45283,yes,,,,yes,,,Adamo Idrocarburi S.R.L.,Adamo Idrocarburi,37.32624,13.59182
45162,yes,,,,yes,,,Adamo Idrocarburi S.R.L.,Adamo Idrocarburi,37.3038,13.58624
45284,yes,,,,yes,,,Adamo Idrocarburi S.R.L.,Adamo Idrocarburi,37.2712,13.62087
45286,yes,,,,yes,,,Adamo Idrocarburi S.R.L.,Adamo Idrocarburi,37.31493,13.57139
21198,,,,,,,,Il Molo S.R.L.,,37.26314,13.57905
28277,yes,,,,yes,,,Servizi & Gestioni Italia S.R.L.,Q8,37.3192,13.58107
47052,yes,,,,yes,,,Servizi e Gestioni Zenit S.R.L. in sigla - Zenit S.R.L.,Giap,37.30378,13.58625
20497,,,,,,,,Ciaravella Giuseppe Valerio,Q8,37.5617,13.45152
28848,,,,,,,,Meli Alfonso,Q8,37.4006,13.61763
11161,yes,,,,yes,,,Rizzo Giovanni,Q8,37.39549,13.62118
32468,yes,,,,yes,,,Cafe' Vali' di Carbone R. e Maniscalco R. e C. S.N.C.,Esso,37.61467,13.43552
16211,yes,,,,yes,,,Falco Carburanti S.A.S. di Giuseppa Falco & C.,Agip Eni,37.57559,13.22045
30714,,,,,,,,Incardona Carburanti di Bordino Crocifissa & C. S.A.S.,Tamoil,37.26309,13.79327
26491,,,,,,,,Urso Giovanni Battista,Q8,37.25732,13.79106
7842,yes,,,,yes,,,Eliogest di Traina Marcello e Giambrone Ausilia & C. Società in In Accomandita Semplice.,Agip Eni,37.66139,13.66822
28169,yes,,,,yes,,,Servizi e Gestioni Zenit S.R.L. in sigla - Zenit S.R.L.,Giap,37.63158,13.63873
