{,id,lat,lon,tags{,operator,brand,description,addr:postcode,addr:city,source:date,},}
,26366,45.953020113006275,13.43632087111473,,Autoservice 2000 Di Cara Stefano & C. S.N.C.,Tamoil,Statale 56 Di Gorizia  Km. 21  Dir. Ovest 34071,34071,Cormons,2018-04-09,,
,11611,45.95676739726052,13.466316964626344,,Servizi & Gestioni Italia S.R.L.,Q8,V.Le V.Giulia Ss 356 Km 45+511 S/N 34071,34071,Cormons,2018-04-09,,
,21433,45.95026200465828,13.475195467472076,,Zorgniotti & Piu Di Zorgniotti Oscar & C. S.A.S.,Api-Ip,Statale 56 Di Gorizia  Km. 24  Dir. Gorizia 34071,34071,Cormons,2018-04-09,,
,23721,45.95886767698286,13.463874186508178,,San Marco Petroli Distribuzione S.R.L.,San Marco Petroli,Viale Venezia Giulia 53 34071,34071,Cormons,2018-04-09,,
,30744,45.90449920681918,13.53717209038848,,Gestioni Europa - Societa' Per Azioni,Total Erg,Via Gorizia 109 34072,34072,Farra D'Isonzo,2018-04-09,,
,29278,45.86110000000002,13.483021457672066,,Ip Services S.R.L.,Api-Ip,Ss 305 Km 11+602  34070,34070,Fogliano Redipuglia,2018-04-09,,
,7330,45.840200640531755,13.48921881943511,,Totalerg Di Daniele Andrian,Total Erg,Via Pietro Micca 15 34070,34070,Fogliano Redipuglia,2018-04-09,,
,39309,45.93756263637214,13.61665106197131,,Servizi Innovativi Nord Est S.R.L.,Agip Eni,Via Duca D'Aosta 74 34170,34170,Gorizia,2018-04-09,,
,11385,45.92793252306182,13.613188120901441,,Autoservizi S.N.C. Di Traficante Antonio & Vincenzo,Agip Eni,Via Trieste 179 34170,34170,Gorizia,2018-04-09,,
,24264,45.935742047394335,13.600412479345664,,Der-W Di Rizzi Manuel,Tamoil,Via Lungo Isonzo Argentina 110 34170,34170,Gorizia,2018-04-09,,
,16668,45.93461103828427,13.601025787033109,,Area 4133 S.N.C. Di Sabrina Ponzalli E Paolo Macuz,Agip Eni,Via Aquileia 60 34170,34170,Gorizia,2018-04-09,,
,38473,45.92496181489726,13.612974942922165,,Zanetti Fabio,Esso,Via Trieste 106 34170,34170,Gorizia,2018-04-09,,
,11610,45.934474617021145,13.606942915344234,,Servizi & Gestioni Italia S.R.L.,Q8,Via Aquileia Ang. Fatebenefratelli S/N 34170,34170,Gorizia,2018-04-09,,
,29775,45.942845678860614,13.623064536770698,,Diana Massimiliano,Agip Eni,Via Francesco Crispi 14 34170,34170,Gorizia,2018-04-09,,
,21193,45.93415671441837,13.603541595106435,,Stazione Di Servizio Traini Di Pio Traini E Giovanni Romanut S.N.C.,Esso,Via Aquileia 40 34170,34170,Gorizia,2018-04-09,,
,37269,45.93807888792894,13.602798466934246,,Lovisini Fulvio,Esso,Via Lungo Isonzo Argentina 77 34170,34170,Gorizia,2018-04-09,,
,38371,45.936595875125256,13.58455315232277,,Service Car Di Concina Alessandro,Total Erg,Via Brigata Re  20/B 34170,34170,Gorizia,2018-04-09,,
,11608,45.886056011596914,13.496165889549275,,Servizi & Gestioni Italia S.R.L.,Q8,Viale Trieste 50/A 34072,34072,Gradisca D'Isonzo,2018-04-09,,
,29654,45.87970214830244,13.465165560857372,,Vanello Eugenio & Figli S.P.A,Pompe Bianche,Via Palmanova 63/A 34072,34072,Gradisca D'Isonzo,2018-04-09,,
,36541,45.681677476185676,13.386962860822678,,Marchesan S.A.S. Di Marchesan Massimiliano E C.,Agip Eni,Via Dello Squero 22 34073,34073,Grado,2018-04-09,,
,24983,45.68186917679626,13.404839783906937,,Som S.P.A.,Api-Ip,Viale Argine Moreri Sn 34073,34073,Grado,2018-04-09,,
,23873,45.68163235185822,13.417021395633242,,Servizi & Gestioni Italia S.R.L.,Q8,Loc Pineta S.P. Per Monfalcone  34073,34073,Grado,2018-04-09,,
,10670,45.68468670658568,13.385421931743622,,Darsena San Marco S.R.L.,Som/Omv,Localita' Testata Mosconi  34073,34073,Grado,2018-04-09,,
,34171,45.67948477165015,13.396817296743393,,S.I.A. Engineering Construction S.R.L.,Sia Fuel,Via Riva Ugo Foscolo Snc 34073,34073,Grado,2018-04-09,,
,16868,45.68210552817908,13.40537969848151,,S.G. Di Salmeri Dario & C. S.A.S.,Total Erg,Viale Dei Moreri 54/B 34073,34073,Grado,2018-04-09,,
,23854,45.90955505606101,13.461265571379158,,Msport S.R.L.,Som/Omv,Via Manzoni 164 34070,34070,Mariano Del Friuli,2018-04-09,,
,33266,45.92265172856525,13.45474898815155,,Ricciardi Giovanni,Trivengas,Statale 305 Di Redipuglia  Km. 3 9  Dir. Mariano Del Friuli 34076,34076,Medea,2018-04-09,,
,9674,45.81124642901621,13.521822988986969,,Rivoldini Alberta,Agip Eni,Via San Polo  34074,34074,Monfalcone,2018-04-09,,
,18877,45.80175159455908,13.54940414428711,,Bidut Roberto - Impianto Agip Monfalcone,Agip Eni,Statale 14 Della Venezia Giulia  Km. 128+640  Dir. Ve-Ts,Ve-Ts,Monfalcone,2018-04-09,,
,22395,45.80220739523038,13.547295928001404,,Bm Servizi S.A.S. Di Tacchetto Bryan E Brienza Michele,Esso,Statale 14 Della Venezia Giulia  Km. 110  Dir. Trieste 34074,34074,Monfalcone,2018-04-09,,
,5945,45.81623380409653,13.511206341104526,,Gestioni Europa S.P.A.,Total Erg,Via Pocar 3 34074,34074,Monfalcone,2018-04-09,,
,31331,45.80197569161449,13.546205364418029,,Ip Services S.R.L.,Api-Ip,Via Boito 57 34074,34074,Monfalcone,2018-04-09,,
,35586,45.799370080589405,13.52773218650816,,Ip Services S.R.L.,Api-Ip,Via Grado - Sp19  34074,34074,Monfalcone,2018-04-09,,
,36988,45.79216050949534,13.560191988945007,,Gestioni Europa - Societa' Per Azioni,Total Erg,Via Terme Romane 5 34074,34074,Monfalcone,2018-04-09,,
,11609,45.80222991789097,13.541698890876773,,Servizi & Gestioni Italia S.R.L.,Q8,Via Arrigo Boito 43 34074,34074,Monfalcone,2018-04-09,,
,11606,45.80616163972838,13.538689271164003,,Servizi & Gestioni Italia S.R.L.,Q8,Via Matteotti 23 34074,34074,Monfalcone,2018-04-09,,
,18571,45.813873670067224,13.513197699861166,,Stazione Di Servizio Esso F.Lli Mininel Di Mininel Andrea E C. S.N.C.,Esso,Via I Maggio 59 34074,34074,Monfalcone,2018-04-09,,
,34054,45.89625731994383,13.411049097776413,,Zanello Giulio,Agip Eni,Statale 252 Di Palmanova  Km. 37+160  Dir. Gorizia  34076,34076,Romans D'Isonzo,2018-04-09,,
,14823,45.840337485918766,13.493413031101227,,Ricciardi Antonio,Agip Eni,Statale 305 Di Redipuglia  Km. 14+72  Dir. Trieste 34077,34077,Ronchi Dei Legionari,2018-04-09,,
,11607,45.830408397565556,13.500362449073805,,Servizi & Gestioni Italia S.R.L.,Q8,Via Redipuglia 25 34077,34077,Ronchi Dei Legionari,2018-04-09,,
,18967,45.81938705252744,13.476206064224243,,Schiavini Giorgio & Roberto S.N.C.,Total Erg,Statale 14 Della Venezia Giulia  Km. 121  Dir. Trieste 34077,34077,Ronchi Dei Legionari,2018-04-09,,
,25804,45.80845285487364,13.442810475826263,,Area Pieris Di Ponzalli Roberto & Sellan Matteo S.N.C.,Agip Eni,Via Cesare Battisti 24 34075,34075,San Canzian D'Isonzo,2018-04-09,,
,30071,45.934492090220495,13.52586105465889,,Scolaris Vini - Societa' A Responsabilita' Limitata Detta Altrimenti  Cantina Borgo Boschetto   Cantina San Lorenzo  Villa Folini  Bosco Del Tiglio  Cantina Le Magnolie Oppure Ma.Sco.,Agip Eni,Statale 56 Di Gorizia  Km. 28+592  Dir. Gorizia 34070,34070,San Lorenzo Isontino,2018-04-09,,
