{,id,lat,lon,tags{,operator,brand,source:date,},}
,17720,37.31492626453715,13.571385517716408,,A.Nuara E Figli Srl,Pompe Bianche,2018-04-12,,
,23778,37.312390927445705,13.58591309570079,,Alfonso Di Benedetto Carburanti Lubrificanti Srl,Esso,2018-04-12,,
,20438,37.27431987367583,13.614236337434363,,Servizi & Gestioni Italia S.R.L.,Q8,2018-04-12,,
,25614,37.29582883251122,13.547611503041026,,Servizi & Gestioni Italia S.R.L.,Q8,2018-04-12,,
,39653,37.33398294716085,13.595558255910873,,Alba Alessandro,Agip Eni,2018-04-12,,
,9254,37.31145034380066,13.608648777008057,,Distefano Carburanti Di Distefano Fabio E C. S.A.S.,Q8,2018-04-12,,
,27962,37.31670576105686,13.580794036388397,,Nobile Oil Group S.P.A.,Agip Eni,2018-04-12,,
,21524,37.271179903909264,13.626721501350403,,Nobile Oil Group S.P.A.,Agip Eni,2018-04-12,,
,24949,37.308234929449384,13.586577368122903,,Erriu Enrico,Agip Eni,2018-04-12,,
,14565,37.314871815789736,13.581396440028584,,Petrolcoke Energy S.R.L.,Esso,2018-04-12,,
,21198,37.2631384,13.5790455,,Il Molo S.R.L.,Pompe Bianche,2018-04-12,,
,12774,37.29331979071349,13.569776862859726,,Di Benedetto Carburanti S.R.L.,Api-Ip,2018-04-12,,
,4635,37.27701951470328,13.610502183437347,,A.Nuara E Figli Srl,Lukoil,2018-04-12,,
,8265,37.271196979454935,13.620863556861877,,A.Nuara E Figli Srl,Pompe Bianche,2018-04-12,,
,28277,37.31919829622775,13.581069525760313,,Servizi & Gestioni Italia S.R.L.,Q8,2018-04-12,,
,25473,37.3526847016027,13.51844072341919,,Petrolcoke Energy S.R.L.,Sp Energia Siciliana,2018-04-12,,
,17803,37.30192581036641,13.588533825576178,,A.Nuara E Figli Srl,Pompe Bianche,2018-04-12,,
,38171,37.303777234919984,13.586254217136684,,Servizi E Gestioni Zenit S.R.L. In Sigla - Zenit S.R.L.,Giap,2018-04-12,,
,17810,37.2981646764832,13.58978882431984,,A.Nuara E Figli Srl,Pompe Bianche,2018-04-12,,
,17801,37.32621304542855,13.591846078634262,,A.Nuara E Figli Srl,Pompe Bianche,2018-04-12,,
,20497,37.56170013881221,13.451516926288605,,Ciaravella Giuseppe Valerio,Q8,2018-04-12,,
,28848,37.40059799035912,13.61762747168541,,Meli Alfonso,Q8,2018-04-12,,
,11161,37.395494269083635,13.621182051589926,,Rizzo Giovanni,Q8,2018-04-12,,
,32468,37.614666580463016,13.435519561171531,,Cafe' Vali' Di Carbone R. E Maniscalco R. E C. S.N.C.,Esso,2018-04-12,,
,16211,37.575594747823374,13.220453972167661,,Falco Carburanti S.A.S. Di Giuseppa  Falco & C.,Agip Eni,2018-04-12,,
,30714,37.26309356572423,13.79327143637488,,Incardona Carburanti Di Bordino Crocifissa & C. S.A.S.,Tamoil,2018-04-12,,
