ref:mise;fuel:cng;source:date;price
3464;yes;29/01/2019 20:00:06;1.134
3467;yes;01/02/2019 09:32:38;1.189
3471;yes;01/02/2019 16:00:07;1.069
3473;yes;31/01/2019 08:17:54;1.080
3482;yes;31/01/2019 14:02:08;1.145
3493;yes;01/02/2019 16:06:49;1.239
3500;yes;01/02/2019 07:00:08;1.065
3503;yes;31/01/2019 09:25:57;1.201
3568;yes;31/01/2019 17:29:50;1.050
3594;yes;02/02/2019 12:11:12;1.229
3598;yes;01/02/2019 13:54:37;1.205
3616;yes;27/04/2018 07:48:00;1.024
3618;yes;01/02/2019 07:15:55;1.219
3626;yes;31/01/2019 10:04:14;1.144
3631;yes;25/01/2018 19:13:11;1.050
3668;yes;28/01/2019 06:30:49;1.194
3679;yes;02/02/2019 14:30:12;1.029
3704;yes;31/01/2019 15:09:32;1.099
3708;yes;31/01/2019 11:42:54;1.145
3711;yes;31/01/2019 07:54:40;1.235
3714;yes;31/01/2019 08:30:09;1.149
3717;yes;01/02/2019 08:23:58;1.149
3727;yes;31/01/2019 06:02:51;1.245
3729;yes;28/01/2019 11:17:59;1.250
3730;yes;31/01/2019 22:14:13;1.086
3762;yes;31/01/2019 06:56:56;1.164
3817;yes;28/01/2019 17:09:09;0.999
3835;yes;10/01/2019 13:42:34;1.000
3853;yes;02/02/2019 13:38:07;1.150
3861;yes;03/02/2019 06:38:11;1.065
3862;yes;03/02/2019 06:22:10;1.065
3887;yes;31/01/2019 08:57:52;1.189
3894;yes;31/01/2019 20:06:19;1.209
3906;yes;01/02/2019 07:44:09;1.242
3907;yes;31/01/2019 07:23:46;1.070
3927;yes;29/01/2019 08:35:27;1.250
3928;yes;31/01/2019 10:11:30;0.999
3987;yes;27/01/2019 11:03:47;1.154
4005;yes;02/02/2019 23:00:33;0.998
4006;yes;28/01/2019 08:37:01;0.992
4007;yes;28/01/2019 08:41:51;0.998
4008;yes;28/01/2019 08:40:04;1.100
4009;yes;28/01/2019 08:34:32;0.998
4010;yes;28/01/2019 14:53:12;0.970
4011;yes;31/01/2019 06:27:26;1.039
4027;yes;01/02/2019 12:32:25;0.998
4028;yes;29/01/2019 08:40:28;1.009
4032;yes;02/02/2019 20:16:14;0.972
4036;yes;02/02/2019 21:14:08;0.999
4064;yes;29/01/2019 18:24:35;0.989
4074;yes;26/01/2019 09:36:00;0.999
4077;yes;31/01/2019 18:59:01;1.059
4080;yes;25/01/2019 08:02:43;0.962
4082;yes;29/01/2019 14:07:10;0.959
4109;yes;24/01/2019 10:34:18;0.850
4127;yes;02/02/2019 07:26:47;0.966
4142;yes;01/02/2019 09:58:58;1.049
4185;yes;31/01/2019 14:26:27;1.030
4194;yes;29/01/2019 08:00:01;0.979
4214;yes;01/02/2019 12:21:20;0.968
4218;yes;03/12/2018 18:45:07;0.999
4221;yes;01/02/2019 07:36:44;0.998
4246;yes;03/02/2019 05:54:08;0.999
4252;yes;31/01/2019 12:55:29;0.990
4254;yes;31/01/2019 06:13:26;0.986
4265;yes;24/01/2019 10:36:35;0.929
4271;yes;02/02/2019 09:35:48;0.995
4280;yes;02/02/2019 09:09:10;0.995
4311;yes;28/01/2019 16:24:52;0.969
4312;yes;01/02/2019 07:09:52;0.990
4313;yes;23/01/2019 13:19:42;0.989
4319;yes;02/02/2019 18:26:19;0.899
4330;yes;31/01/2019 14:37:28;0.965
4335;yes;02/02/2019 12:38:09;0.965
4337;yes;31/01/2019 14:36:24;0.965
4339;yes;31/01/2019 14:34:05;0.965
4354;yes;31/01/2019 08:16:23;0.988
4365;yes;02/02/2019 21:50:11;1.040
4366;yes;02/02/2019 21:46:01;1.040
4371;yes;15/01/2019 18:41:54;1.019
4377;yes;01/02/2019 17:41:45;0.939
4379;yes;01/02/2019 17:41:18;0.939
4387;yes;01/02/2019 12:43:01;0.998
4390;yes;01/02/2019 12:41:37;1.030
4413;yes;01/02/2019 07:26:13;1.035
4414;yes;28/01/2019 11:58:14;0.995
4425;yes;02/02/2019 10:11:44;0.948
4441;yes;29/01/2019 11:50:50;1.049
4443;yes;02/02/2019 23:00:21;0.996
4485;yes;21/01/2019 11:53:55;0.999
4494;yes;31/01/2019 17:26:00;0.913
4495;yes;31/01/2019 17:27:04;0.913
4523;yes;29/12/2018 08:48:51;0.999
4524;yes;28/01/2019 09:18:35;0.979
4526;yes;29/01/2019 08:36:53;0.959
4532;yes;31/01/2019 18:03:41;0.929
4535;yes;02/02/2019 10:14:29;0.929
4536;yes;02/02/2019 10:15:35;0.988
4550;yes;02/02/2019 10:05:55;0.929
4551;yes;01/02/2019 15:38:19;1.018
4552;yes;02/02/2019 10:18:05;0.929
4553;yes;02/02/2019 10:18:48;0.895
4554;yes;02/02/2019 10:19:44;0.925
4565;yes;02/02/2019 12:28:59;0.989
4578;yes;31/01/2019 08:50:50;0.899
4593;yes;03/02/2019 00:14:27;0.869
4602;yes;01/02/2019 12:03:12;0.995
4603;yes;25/09/2018 07:15:09;0.949
4605;yes;01/02/2019 15:55:49;1.088
4610;yes;02/02/2019 07:38:29;1.035
4618;yes;28/01/2019 08:49:09;0.989
4619;yes;28/01/2019 08:49:30;0.989
4628;yes;31/01/2019 12:32:42;0.999
4634;yes;29/12/2017 08:46:35;0.999
4635;yes;31/01/2019 09:10:20;1.249
4663;yes;01/02/2019 08:35:16;1.069
4681;yes;02/02/2019 09:45:55;1.100
4716;yes;01/02/2019 07:43:48;0.929
4720;yes;02/02/2019 12:04:56;1.039
4741;yes;28/01/2019 07:34:46;1.030
4742;yes;28/01/2019 07:37:29;1.030
4750;yes;28/01/2019 07:35:49;1.090
4756;yes;31/01/2019 16:13:20;0.918
4770;yes;02/02/2019 06:41:08;0.999
4772;yes;01/02/2019 18:44:33;0.959
4773;yes;01/02/2019 12:01:51;0.999
