ref:mise,fuel:lpg,fuel:cng,operator,brand,lat,lon
4635,yes,yes,A.Nuara e Figli S.R.L.,Lukoil,37.27702,13.6105
17801,,yes,A.Nuara e Figli S.R.L.,,37.32621,13.59185
34101,yes,,Grm di Marchese Ragona Giuseppe S.A.S.,,37.36224,13.78875
25077,yes,,A.Nuara e Figli S.R.L.,,37.24745,13.66756
33022,yes,,Mendolia Antonio,,37.3472,13.67679
4631,yes,,A.Nuara e Figli S.R.L.,,37.34814,13.61624
37083,yes,yes,Sicilpetroli S.R.L.,,37.12049,13.94675
42514,yes,,Alfonso di Benedetto Carburanti Lubrificanti S.R.L.,,37.60656,12.95824
27393,yes,,Incardona S.R.L.,,37.1834,13.76892
32155,yes,,Euroil S.R.L.S.,,37.26385,13.95851
20045,yes,,Servizi e Gestioni Zenit S.R.L. in sigla - Zenit S.R.L.,Agip Eni,37.50804,13.05228
12200,yes,,Sciacca Oil di La Porta Maria,TaOil,37.52009,13.07728
39340,yes,,Bertora Cinzia,Retitalia,44.6792,8.45137
10022,yes,,Collino e C.- S.p.A.,,44.66896,8.45892
39620,yes,yes,Barone Salvatore,,44.66902,8.48122
7292,yes,,Servizi & Gestioni Italia S.R.L.,Q8,44.9022,8.63087
38868,yes,,Ip Services S.R.L.,Api-Ip,44.88638,8.61541
40733,yes,,New Truck S.R.L.,,44.92151,8.55065
41907,yes,,New Truck S.R.L.,Esso,44.90708,8.64128
37821,,yes,Alegas S.R.L.,,44.92227,8.61504
31091,yes,,Spinnato Alessandro,Tamoil,44.90699,8.68893
7017,yes,,Mazzoleni Federico,,44.92087,8.59285
42510,yes,,Erretre S.R.L.,,44.89146,8.6016
42511,yes,,Erretre S.R.L.,,44.91899,8.59725
10209,yes,,Carugia & Oddino e C. S.N.C. di Carugia Maurizio,Api-Ip,44.93263,8.62542
36526,yes,,New Truck S.R.L.,KEROPETROL,44.88965,8.68747
40820,yes,,Stoil S.R.L.,,44.91796,8.70028
38685,yes,,Valfuel S.N.C. di Timpanaro Cristian e Russo Paolo Giuseppe,Total Erg,44.93864,8.62482
7298,yes,,Servizi & Gestioni Italia S.R.L.,Q8,44.62794,8.65241
3535,yes,,Vignolo e Garbarino S.N.C.,Total Erg,44.59237,8.66614
38882,yes,,Tiger S.R.L.,Esso,44.59159,8.66451
38590,yes,,Easy Service S.R.L.,Energas,44.83472,8.7373
26208,yes,,Berta Gabriel,Agip Eni,45.11101,8.45149
5125,yes,yes,Trovato Giuseppe,Agip Eni,45.1296,8.47554
7288,,yes,Servizi & Gestioni Italia S.R.L.,Q8,45.12286,8.46431
39839,,yes,Riccobono Alessia,Agip Eni,45.1626,8.46034
