17720;A.NUARA E FIGLI SRL;Pompe Bianche;37.31493;13.57139
23778;ALFONSO DI BENEDETTO CARBURANTI LUBRIFICANTI SRL;Pompe Bianche;37.31239;13.58591
42421;EOS SERVICES S.R.L. A SOCIO UNICO;Q8;37.52366;13.07383
20438;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;37.27432;13.61424
25614;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;37.29583;13.54761
39653;ALBA ALESSANDRO;Agip Eni;37.33398;13.59556
9254;DISTEFANO CARBURANTI DI DISTEFANO FABIO E C. S.A.S.;Q8;37.31145;13.60865
27962;NOBILE OIL GROUP S.P.A.;Agip Eni;37.31671;13.58079
21524;NOBILE OIL GROUP S.P.A.;Agip Eni;37.27118;13.62672
24949;ERRIU ENRICO;Agip Eni;37.30823;13.58658
14565;PETROLCOKE ENERGY S.R.L.;Esso;37.31487;13.58140
21198;IL MOLO S.R.L.;Pompe Bianche;37.26314;13.57905
12774;DI BENEDETTO CARBURANTI S.R.L.;Api-Ip;37.29332;13.56978
4635;A.NUARA E FIGLI SRL;Lukoil;37.27702;13.61050
8265;A.NUARA E FIGLI SRL;Pompe Bianche;37.27120;13.62086
28277;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;37.31920;13.58107
25473;PETROLCOKE ENERGY S.R.L.;SP Energia Siciliana;37.35268;13.51844
17803;A.NUARA E FIGLI SRL;Pompe Bianche;37.30193;13.58853
38171;SERVIZI E GESTIONI ZENIT S.R.L. IN SIGLA - ZENIT S.R.L.;Giap;37.30378;13.58625
17810;A.NUARA E FIGLI SRL;Pompe Bianche;37.29816;13.58979
17801;A.NUARA E FIGLI SRL;Pompe Bianche;37.32621;13.59185
20497;CIARAVELLA GIUSEPPE VALERIO;Q8;37.56170;13.45152
28848;MELI ALFONSO;Q8;37.40060;13.61763
11161;RIZZO GIOVANNI;Q8;37.39549;13.62118
32468;CAFE' VALI' DI CARBONE R. E MANISCALCO R. E C. S.N.C.;Esso;37.61467;13.43552
16211;FALCO CARBURANTI S.A.S. DI GIUSEPPA  FALCO & C.;Agip Eni;37.57559;13.22045
30714;INCARDONA CARBURANTI DI BORDINO CROCIFISSA & C. S.A.S.;Tamoil;37.26309;13.79327
26491;URSO GIOVANNI BATTISTA;Q8;37.25732;13.79106
7842;ELIOGEST DI TRAINA MARCELLO E GIAMBRONE AUSILIA & C. SOCIETA' IN IN ACCOMANDITA SEMPLICE.;Agip Eni;37.66139;13.66822
28169;SERVIZI E GESTIONI ZENIT S.R.L. IN SIGLA - ZENIT S.R.L.;Giap;37.63158;13.63873
14853;CIOTTA MICHELE;Esso;37.26096;13.91801
20349;PATTI GIOVANNI;Q8;37.26531;13.91840
23777;ALFONSO DI BENEDETTO CARBURANTI LUBRIFICANTI SRL;Agip Eni;37.36247;13.85553
40223;F.LLI BARBIERI S.R.L.;Pompe Bianche;37.35228;13.83221
9408;DI BENEDETTO FABIO;Q8;37.38012;13.84685
41311;GAZZARA SALVATORE;Agip Eni;37.35296;13.84449
37104;CUMMO SALVATORE;Esso;37.35695;13.85124
40562;CUMMO GIUSEPPE;Esso;37.35695;13.85125
31425;PETROLSERVICES S.A.S. DI RICCARDO DI BENEDETTO & C.;Giap;37.36153;13.85413
34101;GRM DI MARCHESE RAGONA GIUSEPPE S.A.S.;Pompe Bianche;37.36224;13.78875
29965;DI BENEDETTO CARBURANTI S.R.L.;Pompe Bianche;37.35221;13.83217
13093;DI BENEDETTO RICCARDO;Esso;37.35378;13.84778
16277;SUD - PETROLI S.A.S. DI CAICO GIACINTO;Esso;37.35217;13.84088
40181;RAMETTA CAR SERVICE SOCIETA' IN NOME  COLLETTIVO DI RAMETTA GIUSEPPE  & C .;Q8;37.54200;13.64645
30771;SERVIZI E GESTIONI ZENIT S.R.L. IN SIGLA - ZENIT S.R.L.;Giap;37.54271;13.65273
39567;SA.RA. S.A.S. DEL DR. RACALBUTO ANTONINO & CO;Pompe Bianche;37.34952;13.75951
18512;MICELI MICHELINA;Pompe Bianche;37.44098;13.39088
22153;AGOZZINO PASQUALE;SP Energia Siciliana;37.44088;13.39104
9498;DP FUEL DI D'ANNA FRANCESCO & C. SNC;Q8;37.51986;13.43618
42515;DBS SERVIZI PETROLIFERI S.R.L.;Pompe Bianche;37.44519;13.65966
25077;A.NUARA E FIGLI SRL;Pompe Bianche;37.24745;13.66756
21532;CASTRONOVO FILIPPO;Agip Eni;37.32455;13.66298
