ref:mise,fuel:lpg,fuel:cng,operator,brand,lat,lon
17720,,,A.Nuara e Figli S.R.L.,,37.31493,13.57139
23778,,,Alfonso di Benedetto Carburanti Lubrificanti S.R.L.,,37.31239,13.58591
42421,,,Eos Services S.R.L. a Socio Unico,Q8,37.52366,13.07383
20438,,,Servizi & Gestioni Italia S.R.L.,Q8,37.27432,13.61424
25614,,,Servizi & Gestioni Italia S.R.L.,Q8,37.29583,13.54761
39653,,,Alba Alessandro,Agip Eni,37.33398,13.59556
9254,,,Distefano Carburanti di Distefano Fabio e C. S.A.S.,Q8,37.31145,13.60865
27962,,,Nobile Oil Group S.p.A.,Agip Eni,37.31671,13.58079
21524,,,Nobile Oil Group S.p.A.,Agip Eni,37.27118,13.62672
24949,,,Erriu Enrico,Agip Eni,37.30823,13.58658
14565,,,Petrolcoke Energy S.R.L.,Esso,37.31487,13.5814
21198,,,Il Molo S.R.L.,,37.26314,13.57905
12774,,,Di Benedetto Carburanti S.R.L.,Api-Ip,37.29332,13.56978
4635,yes,yes,A.Nuara e Figli S.R.L.,Lukoil,37.27702,13.6105
8265,,,A.Nuara e Figli S.R.L.,,37.2712,13.62086
28277,,,Servizi & Gestioni Italia S.R.L.,Q8,37.3192,13.58107
25473,,,Petrolcoke Energy S.R.L.,SP Energia Siciliana,37.35268,13.51844
17803,,,A.Nuara e Figli S.R.L.,,37.30193,13.58853
38171,,,Servizi e Gestioni Zenit S.R.L. in sigla - Zenit S.R.L.,Giap,37.30378,13.58625
17810,,,A.Nuara e Figli S.R.L.,,37.29816,13.58979
17801,,yes,A.Nuara e Figli S.R.L.,,37.32621,13.59185
20497,,,Ciaravella Giuseppe Valerio,Q8,37.5617,13.45152
28848,,,Meli Alfonso,Q8,37.4006,13.61763
11161,,,Rizzo Giovanni,Q8,37.39549,13.62118
32468,,,Cafe' Vali' di Carbone R. e Maniscalco R. e C. S.N.C.,Esso,37.61467,13.43552
16211,,,Falco Carburanti S.A.S. di Giuseppa Falco & C.,Agip Eni,37.57559,13.22045
30714,,,Incardona Carburanti di Bordino Crocifissa & C. S.A.S.,Tamoil,37.26309,13.79327
26491,,,Urso Giovanni Battista,Q8,37.25732,13.79106
7842,,,Eliogest di Traina Marcello e Giambrone Ausilia & C. Società in In Accomandita Semplice.,Agip Eni,37.66139,13.66822
28169,,,Servizi e Gestioni Zenit S.R.L. in sigla - Zenit S.R.L.,Giap,37.63158,13.63873
14853,,,Ciotta Michele,Esso,37.26096,13.91801
20349,,,Patti Giovanni,Q8,37.26531,13.9184
23777,,,Alfonso di Benedetto Carburanti Lubrificanti S.R.L.,Agip Eni,37.36247,13.85553
40223,,,F.Lli Barbieri S.R.L.,,37.35228,13.83221
9408,,,Di Benedetto Fabio,Q8,37.38012,13.84685
41311,,,Gazzara Salvatore,Agip Eni,37.35296,13.84449
37104,,,Cummo Salvatore,Esso,37.35695,13.85124
40562,,,Cummo Giuseppe,Esso,37.35695,13.85125
31425,,,Petrolservices S.A.S. di Riccardo di Benedetto & C.,Giap,37.36153,13.85413
34101,yes,,Grm di Marchese Ragona Giuseppe S.A.S.,,37.36224,13.78875
29965,,,Di Benedetto Carburanti S.R.L.,,37.35221,13.83217
13093,,,Di Benedetto Riccardo,Esso,37.35378,13.84778
16277,,,Sud - Petroli S.A.S. di Caico Giacinto,Esso,37.35217,13.84088
40181,,,Rametta Car Service Società in Nome Collettivo di Rametta Giuseppe & C .,Q8,37.542,13.64645
30771,,,Servizi e Gestioni Zenit S.R.L. in sigla - Zenit S.R.L.,Giap,37.54271,13.65273
39567,,,Sa.Ra. S.A.S. Del Dr. Racalbuto Antonino & Co,,37.34952,13.75951
18512,,,Miceli Michelina,,37.44098,13.39088
22153,,,Agozzino Pasquale,SP Energia Siciliana,37.44088,13.39104
9498,,,Dp Fuel di D'anna Francesco & C. S.N.C.,Q8,37.51986,13.43618
42515,,,Dbs Servizi Petroliferi S.R.L.,,37.44519,13.65966
25077,yes,,A.Nuara e Figli S.R.L.,,37.24745,13.66756
21532,,,Castronovo Filippo,Agip Eni,37.32455,13.66298
4112,,,Di Nolfo Maria Carburanti S.A.S.,Agip Eni,37.32119,13.6658
14269,,,Servizi & Gestioni Italia S.R.L.,Q8,37.30828,13.65823
8015,,,Floan S.R.L.,Q8,37.35069,13.61183
33037,,,Limblici Antonio,Q8,37.30643,13.64847
33022,yes,,Mendolia Antonio,,37.3472,13.67679
4631,yes,,A.Nuara e Figli S.R.L.,,37.34814,13.61624
39716,,,Petrolcoke Energy S.R.L.,SP Energia Siciliana,37.30941,13.65657
35079,,,Servizi e Gestioni Zenit S.R.L. in sigla - Zenit S.R.L.,Lukoil,37.31943,13.66094
13225,,,Scariano Benedetta,SP Energia Siciliana,37.32028,13.66375
17715,,,A.Nuara e Figli S.R.L.,Lukoil,37.36124,13.64223
41348,,,Service Auto S.A.S. di Cavallaro Ilaria & F.Lli,Agip Eni,37.40203,13.69138
12786,,,Di Benedetto Carburanti S.R.L.,Api-Ip,37.35777,13.55687
40673,,,Costanzo Carburanti S.R.L.,,35.50089,12.60155
39889,,,Nautilus Marine S.R.L.,,35.86358,12.85239
24796,,,Petrol Service Lampedusa S.R.L.,,35.49956,12.60647
12369,,,Di Benedetto Carburanti S.R.L.,Esso,37.1115,13.9216
27202,,,Alaimo Amedeo Angelo,Esso,37.10265,13.94013
12667,,,Liotta Maria Rosa e Co. S.A.S.,Agip Eni,37.10983,13.95174
20954,,,De Caro Agostino,Esso,37.11469,13.95988
11336,,,Graci Rosario,Giap,37.10336,13.94062
37083,yes,yes,Sicilpetroli S.R.L.,,37.12049,13.94675
8898,,,Radosta Carburanti di Filippo Radosta e C.-s.A.S.,Q8,37.59077,13.29104
