ref:mise,operator,brand,lat,lon
23778,ALFONSO DI BENEDETTO CARBURANTI LUBRIFICANTI SRL,Esso,37.31239,13.58591
37070,GANGI PIETRO ANTONIO,Agip Eni,37.35296,13.84449
23772,DBS SERVIZI PETROLIFERI S.R.L.,Esso,37.44519,13.65966
23779,ALFONSO DI BENEDETTO CARBURANTI LUBRIFICANTI SRL,Esso,37.60656,12.95824
34517,CURRERI GIUSEPPE,Curreri Carburanti,37.51038,13.06692
30279,BRAGAS S.R.L.,Pompe Bianche,44.89144,8.60165
30280,BRAGAS S.R.L.,Pompe Bianche,44.91903,8.59728
10523,CENTRO CALOR S.R.L.,Pompe Bianche,44.91902,8.59724
10522,CENTRO CALOR S.R.L.,Pompe Bianche,44.89144,8.60168
34881,INZIRILLO SALVATORE ROBERTO,Esso,44.90704,8.64128
38699,TOSCANO ENRICO,Tamoil,44.96713,8.61047
25114,BECCARIA S.R.L. - SOCIETA' A RESPONSABILITA' LIMITATA,Q8,44.65863,8.37519
13732,K NET S.R.L.,Kerotris,45.16318,8.40352
30281,BRAGAS S.R.L.,Pompe Bianche,44.71355,8.53238
10524,CENTRO CALOR S.R.L.,Pompe Bianche,44.71356,8.53232
4953,SO.GE.DI DI RATTI FRANCESCO & C. S.A.S.,Agip Eni,44.90662,8.86998
30816,GOLDENGAS - SOCIETA' PER AZIONI,Total Erg,43.49373,13.55365
14664,S.A.C.A.T. - SOCIETA' AUTONOMA CARBURANTI ED AFFINI TERNANA S.R.L.,Pompe Bianche,43.34582,12.86004
34102,EREDI UBALDI MATTIOLI DI UBALDI LAMBERTO,Esso,43.53477,13.04269
25812,LUPOTTO ALESSANDRO,Europam,45.74178,7.32546
34376,KARIBUNI S.A.S. DI CHENAL SIMONE & C.,Agip Eni,45.74277,7.52169
35076,CONTI & C. PRODOTTI PETROLIFERI S.R.L.,Api-Ip,42.04065,13.41229
33645,PETROLIFERA ADRIATICA S.P.A.,Retitalia,42.02587,13.42964
35078,PETROLIFERA ADRIATICA S.P.A.,Retitalia,42.02881,13.42446
36650,D.M. CARBURANTI S.R.L.,Pompe Bianche,41.76697,14.09879
40508,CONTI & C. PRODOTTI PETROLIFERI S.R.L.,Api-Ip,41.88438,13.45151
3516,SARNI S.R.L.,Api-Ip,42.09372,13.34663
5273,BEYFIN S.P.A.,Pompe Bianche,43.44470,11.79685
13974,EREDI FOGGI S.N.C. DI FOGGI ALESSANDRA & C.,Q8,43.41899,11.60945
33713,CARBURANTI VALDARNO SRL,Agip Eni,43.54937,11.56303
39200,B+B DI BONALDO GIANCARLO E C. S.A.S.,Agip Eni,44.87730,8.21464
33219,MONTANELLA & C. SNC DI MONTANELLA LUIGI & FRANCA & C.,Agip Eni,44.91180,8.04042
16261,*SCHETTINO FRANCO,Pompe Bianche,41.14711,15.08330
40067,SIRYUS S.A.S. DI PIERPAOLO SIRICO & C.,Pompe Bianche,41.02604,14.61739
23588,MARANO E BORRELLI S.R.L.,Agip Eni,40.93087,14.83267
21813,GILIBERTI CARBURANTI S.R.L.,Q8,40.93030,14.86783
40513,DIMA S.R.L.,Delta,41.00143,16.85945
30503,MODI - SOCIETA' A RESPONSABILITA' LIMITATA,Dill s,41.08950,16.86289
36110,"IP SERVICES S.R.L.",Api-Ip,41.00683,16.91337
34824,ROA - SOCIETA' COOPERATIVA,Pompe Bianche,40.95969,16.92968
19002,D & D S.R.L.,Esso,40.98842,17.23056
36199,M.D. DI MARINO DAMIANO,Q8,45.66921,9.56052
8207,SUZZI ARIANNA,Api-Ip,45.50130,9.63113
38305,BRITA S.A.S. DI D'AMATO DAVIDE & C.,CP,45.73616,9.74980
31631,F.LLI COLOMBO S.N.C. DI COLOMBO ALESSANDRO,Api-Ip,45.72945,9.52933
22457,DITTA MORZENTI ANTONIO S.R.L.,Pompe Bianche,45.68527,9.72849
29098,MENTULA SRL,Pompe Bianche,45.51150,9.58668
20358,MORES BEPPINO,carsie,45.98347,11.75681
29646,PENTA PETROLI SRL,Esso,41.16873,14.76103
33855,PENTA PETROLI SRL,Pompe Bianche,41.34520,14.79217
40783,G.S. S.R.L,Q8,44.48072,11.36253
9554,VENTURI PAOLO,Q8,44.54050,11.26317
14193,CENACCHI RUDI S.N.C. & C.,Agip Eni,44.70284,11.15494
22708,STAZIONE DI SERVIZIO ESSO DI SALMI GIORGIO,Esso,44.72411,11.14372
18800,MELANDRI GIULIO,Pompe Bianche,44.52461,11.78030
6545,SERVIZI & GESTIONI ITALIA srl,Q8,44.61757,11.66396
20659,DI PIERRO GIOVANNI,Agip Eni,40.62686,17.94137
19015,LOPARCO CARBURANTI S.N.C. DI LOPARCO ANGELO E MICHELE,Agip Eni,40.74854,17.42505
19012,LOPARCO CARBURANTI S.N.C. DI LOPARCO ANGELO E MICHELE,Agip Eni,40.74397,17.43054
38455,ELLEBI S.R.L.,Q8,40.83909,17.35997
15138,GALIANO ANTONIO,Total Erg,40.53815,17.57681
31497,ASSETS MANAGEMENT DI ERARIO LUIGI,Agip Eni,40.48902,17.64321
19239,AGIP SELF - AREA  DI ANGLANI VINCENZO & C. S.N.C.,Agip Eni,40.73276,17.56832
40605,SEMERARO CARBURANTI S.R.L. UNIPERSONALE,Pompe Bianche,40.49355,17.98991
